Množství;Název součástky;Odkaz;Poznámky
1;Raspberry Pi 5 - 8GB RAM;https://rpishop.cz/raspberry-pi-5/6498-raspberry-pi-5-8gb-ram.html ;Stačí 4GB verze
2;Li-Pol nabíjecí baterie 3,7 V / 8000 mAh;https://rpishop.cz/535791/li-pol-nabijeci-baterie-37-v-8000-mah/ ;Stačí jen jedna
1;52Pi - Tenký chladicí ventilátor pro Raspberry Pi 5;https://rpishop.cz/625761/52pi-tenky-chladici-ventilator-pro-raspberry-pi-5/ ;
15;Mikrospínač, černá;https://rpishop.cz/tlacitka-spinace/1320-mikrospinac-cerna.html ;
1;Raspberry Pi Touch Display 2 - 5”, 720 × 1280, kapacitní, DSI;https://rpishop.cz/610722/raspberry-pi-touch-display-2-5-portrait/ ;
1;Raspberry Pi 5 RTC baterie;https://rpishop.cz/knoflikove/6499-raspberry-pi-5-rtc-baterie.html ;Není potřeba
1;Raspberry Pi 5 Display Cable Standard - Mini, 300 mm;https://rpishop.cz/mipi/6505-raspberry-pi-5-display-cable-standard-mini-300-mm.html ;Kabel který je dodán s displejem není dostatečně dlouhý, proto je potřeba jej dokoupit
1;Waveshare 8Ω 2W Reproduktor;https://rpishop.cz/623664/waveshare-8ω-2w-reproduktor/ ;Je to sada dvou reproduktorů, proto jen jeden
1;Raspberry Pi 27W USB-C napájecí zdroj, EU, bílý;https://rpishop.cz/zdroje-s-usb-c-kabelem/6494-raspberry-pi-27w-usb-c-napajeci-zdroj-eu-bily.html ;Jestli máte nějakou nabíječku od starého mobilu, lze použít
1;Knoflík pro mikrospínač, zelený, 8 mm;https://rpishop.cz/606291/knoflik-pro-mikrospinac-zeleny-8-mm/ ;Čistě jen pro design
1;Knoflík pro mikrospínač, žlutý, 8 mm;https://rpishop.cz/606292/knoflik-pro-mikrospinac-zluty-8-mm/ ;Čistě jen pro design
1;Knoflík pro mikrospínač, modrý, 8 mm;https://rpishop.cz/606289/knoflik-pro-mikrospinac-8-mm/ ;Čistě jen pro design
1;Knoflík pro mikrospínač, červený, 8 mm;https://rpishop.cz/606288/knoflik-pro-mikrospinac-cerveny-8-mm/ ;Čistě jen pro design
8;Knoflík pro mikrospínač, černý, 8 mm;https://rpishop.cz/660937/knoflik-pro-mikrospinac-cerny-8-mm/ ;Čistě jen pro design
1;A / C převodník MCP3008 10bitový 8kanálový SPI - DIP;https://botland.cz/prevadece/2358-a-c-prevodnik-mcp3008-10bitovy-8kanalovy-spi-dip-5904422362089.html ;K překládání analogových signálů na digitální data
1;LaskaKit Sada smršťovacích bužírek v boxu 560ks;https://www.laskakit.cz/laskakit-sada-smrstovacich-buzirek-v-boxu-560ks/ ;
2;MAX98357 I2S mono zesilovač 3W;https://www.laskakit.cz/max98357-i2s-mono-zesilovac-3w/ ;
1;DuPont kabel M-F - 40x, 40 cm;https://dratek.cz/arduino-platforma/121747-40-x-m-f-dupont-kabel-40-cm.html ;
2;JST XH 2,54 mm 2-Pin vodič samice;https://dratek.cz/arduino-platforma/3178-jst-xh-2.54mm-2-pin-vodic-samice.html ;
1;DuPont kabel M-M - 40x, 20 cm;https://dratek.cz/arduino-platforma/1063-eses-40-x-m-m-dupont-kabel.html ;
2;Joystick pro PS2;https://dratek.cz/arduino-platforma/884-joystick-ps2.html ;
1;DuPont kabel F-F - 40x, 20 cm;https://dratek.cz/arduino-platforma/835-eses-40-x-f-f-dupont-kabel.html ;
1;Metalizovaný rezistor 330K - 0,25W 1%;https://dratek.cz/arduino-platforma/174965-metalizovany-rezistor-330k-0-25w-1.html ;
2;Univerzální plošný spoj - 50 x 70 mm;https://dratek.cz/arduino-platforma/843-univerzalni-plosny-spoj-50mm-x-70mm.html ;
1;Geekworm X1203 5.1V 5A UPS Shield for Raspberry Pi 5 Series;https://geekworm.com/products/x1203 ;
